Episode,Reward,Epsilon
0,0.15546810068190098,0.01
1,0.1599905053153634,0.01
2,1.7343618860468268,0.01
3,0.1325250333175063,0.01
4,0.8068587044253945,0.01
5,2.826448980718851,0.01
6,0.11772988550364971,0.01
7,0.5546013060957193,0.01
8,0.736230444163084,0.01
9,0.7528481502085924,0.01
10,0.3495333641767502,0.01
11,0.1398834064602852,0.01
12,0.19795191381126642,0.01
13,0.47836846485733986,0.01
14,0.3463748702779412,0.01
15,0.2880450589582324,0.01
16,0.23097655270248652,0.01
17,0.5363267660140991,0.01
18,0.9224031995981932,0.01
19,0.4414538238197565,0.01
20,0.1833635661751032,0.01
21,0.8796000676229596,0.01
22,1.6533958157524467,0.01
23,0.6995342895388603,0.01
24,0.7206743089482188,0.01
25,0.19067596923559904,0.01
26,0.14383674506098032,0.01
27,0.1907849470153451,0.01
28,0.6677113492041826,0.01
29,0.42420295625925064,0.01
30,0.1555547108873725,0.01
31,0.13688029907643795,0.01
32,0.6957952296361327,0.01
33,0.5472803972661495,0.01
34,0.4587877104058862,0.01
35,0.7655499931424856,0.01
36,0.11060196254402399,0.01
37,0.43399971537292004,0.01
38,0.9214383698999882,0.01
39,0.2119422061368823,0.01
40,0.2638676166534424,0.01
41,0.12133222725242376,0.01
42,0.7367661651223898,0.01
43,0.1871395129710436,0.01
44,0.18563450686633587,0.01
45,0.10308994632214308,0.01
46,0.14715034142136574,0.01
47,0.413213768042624,0.01
48,0.2799837104976177,0.01
49,0.638071765191853,0.01
50,0.1400164244696498,0.01
51,0.24935079365968704,0.01
52,0.1889203665778041,0.01
53,0.8386527402326465,0.01
54,0.5916570723056793,0.01
55,1.4042025730013847,0.01
56,0.7346497047692537,0.01
57,0.7166756363585591,0.01
58,0.9121147757396102,0.01
59,0.6963836271315813,0.01
60,0.4769113315269351,0.01
61,0.1583622843027115,0.01
62,0.4054818330332637,0.01
63,0.659872530028224,0.01
64,0.5542241604998708,0.01
65,0.6295877322554588,0.01
66,0.27400649059563875,0.01
67,1.1391905201599002,0.01
68,0.3774384390562773,0.01
69,0.45829438511282206,0.01
70,0.8882050598040223,0.01
71,0.46752424724400043,0.01
72,0.09202931448817253,0.01
73,0.13066562358289957,0.01
74,0.08517054002732038,0.01
75,0.41533457674086094,0.01
76,1.2381234848871827,0.01
77,0.5191847095265985,0.01
78,0.5689854212105274,0.01
79,0.6984981074929237,0.01
80,0.6953420033678412,0.01
81,0.6904316237196326,0.01
82,-0.02179878018796444,0.01
83,0.6844285177066922,0.01
84,0.18482884485274553,0.01
85,0.24155331030488014,0.01
86,0.1696456028148532,0.01
87,0.11251819226890802,0.01
88,0.7456323783844709,0.01
89,0.8002595771104097,0.01
90,0.07531504984945059,0.01
91,0.18792919721454382,0.01
92,0.7207612879574299,0.01
93,0.46080472599714994,0.01
94,0.42656056117266417,0.01
95,0.769158792681992,0.01
96,1.2043226025998592,0.01
97,0.5654167756438255,0.01
98,0.5215857196599245,0.01
99,0.10412631649523973,0.01
